imDbId,title,fullTitle,type,year,imDb
tt1877830,The Batman,The Batman (2022),Movie,2022,8.2
tt9032400,Eternals,Eternals (2021),Movie,2021,6.4
tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home (2021),Movie,2021,8.4
tt11286314,Don't Look Up,Don't Look Up (2021),Movie,2021,7.2
tt11214590,House of Gucci,House of Gucci (2021),Movie,2021,6.6
tt8721424,"tick, tick... BOOM!","tick, tick... BOOM! (2021)",Movie,2021,7.5
tt3581652,West Side Story,West Side Story (2021),Movie,2021,7.3
tt4590256,He's All That,He's All That (2021),Movie,2021,4.3
tt1321510,In the Heights,In the Heights (2021),Movie,2021,7.3
tt3228774,Cruella,Cruella (2021),Movie,2021,7.3
tt6264654,Free Guy,Free Guy (2021),Movie,2021,7.2
tt12801262,Luca,Luca (2021),Movie,2021,7.5
tt2953050,Encanto,Encanto (2021),Movie,2021,7.3
tt12536294,Spencer,Spencer (2021),Movie,2021,6.7
tt12789558,Belfast,Belfast (2021),Movie,2021,7.3
tt6856242,The King's Man,The King's Man (2021),Movie,2021,6.3
tt9376612,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings (2021),Movie,2021,7.4
tt3480822,Black Widow,Black Widow (2021),Movie,2021,6.7
tt9639470,Last Night in Soho,Last Night in Soho (2021),Movie,2021,7.1
tt8097030,Turning Red,Turning Red (2022),Movie,2022,7
tt11196036,The Card Counter,The Card Counter (2021),Movie,2021,6.3
tt9357050,Dear Evan Hansen,Dear Evan Hansen (2021),Movie,2021,6.1
tt2382320,No Time to Die,No Time to Die (2021),Movie,2021,7.3
tt5433138,F9: The Fast Saga,F9: The Fast Saga (2021),Movie,2021,5.2
tt5109280,Raya and the Last Dragon,Raya and the Last Dragon (2021),Movie,2021,7.3
tt0870154,Jungle Cruise,Jungle Cruise (2021),Movie,2021,6.6
tt10838180,The Matrix Resurrections,The Matrix Resurrections (2021),Movie,2021,5.7
tt1160419,Dune,Dune (2021),Movie,2021,8.1
tt7097896,Venom: Let There Be Carnage,Venom: Let There Be Carnage (2021),Movie,2021,6
tt6823368,Glass,Glass (2019),Movie,2019,6.6
tt4154664,Captain Marvel,Captain Marvel (2019),Movie,2019,6.8
tt6857112,Us,Us (2019),Movie,2019,6.8
tt6146586,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum (2019),Movie,2019,7.4
tt4520988,Frozen II,Frozen II (2019),Movie,2019,6.8
tt7653254,Marriage Story,Marriage Story (2019),Movie,2019,7.9
tt5697572,Cats,Cats (2019),Movie,2019,2.8
tt7349950,It Chapter Two,It Chapter Two (2019),Movie,2019,6.5
tt3794354,Sonic the Hedgehog,Sonic the Hedgehog (2020),Movie,2020,6.5
tt8613070,Portrait of a Lady on Fire,Portrait of a Lady on Fire (2019),Movie,2019,8.1
tt6723592,Tenet,Tenet (2020),Movie,2020,7.3
tt7846844,Enola Holmes,Enola Holmes (2020),Movie,2020,6.6
tt13143964,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm (2020),Movie,2020,6.6
tt1070874,The Trial of the Chicago 7,The Trial of the Chicago 7 (2020),Movie,2020,7.7
tt9686708,The King of Staten Island,The King of Staten Island (2020),Movie,2020,7.1
tt1502397,Bad Boys for Life,Bad Boys for Life (2020),Movie,2020,6.5
tt2948372,Soul,Soul (2020),Movie,2020,8
tt6320628,Spider-Man: Far from Home,Spider-Man: Far from Home (2019),Movie,2019,7.4
tt1979376,Toy Story 4,Toy Story 4 (2019),Movie,2019,7.7
tt8079248,Yesterday,Yesterday (2019),Movie,2019,6.8
tt4154796,Avengers: Endgame,Avengers: Endgame (2019),Movie,2019,8.4
tt7131622,Once Upon a Time... In Hollywood,Once Upon a Time... In Hollywood (2019),Movie,2019,7.6
tt1302006,The Irishman,The Irishman (2019),Movie,2019,7.8
tt1302006,The Irishman,The Irishman (2019),Movie,2019,7.8
tt8404614,The Two Popes,The Two Popes (2019),Movie,2019,7.6
tt4648786,Harriet,Harriet (2019),Movie,2019,6.6
tt1825683,Black Panther,Black Panther (2018),Movie,2018,7.3
tt3846674,To All the Boys I've Loved Before,To All the Boys I've Loved Before (2018),Movie,2018,7.1
tt1677720,Ready Player One,Ready Player One (2018),Movie,2018,7.4
tt6644200,A Quiet Place,A Quiet Place (2018),Movie,2018,7.5
tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story (2018),Movie,2018,6.9
tt8707922,Can You Keep a Secret?,Can You Keep a Secret? (2019),Movie,2019,5.3
tt9252508,Tall Girl,Tall Girl (2019),Movie,2019,5.2
tt3799232,The Kissing Booth,The Kissing Booth (2018),Movie,2018,6
tt2066051,Rocketman,Rocketman (2019),Movie,2019,7.3
tt5503686,Hustlers,Hustlers (2019),Movie,2019,6.3
tt7286456,Joker,Joker (2019),Movie,2019,8.4
tt5164214,Ocean's Eight,Ocean's Eight (2018),Movie,2018,6.3
tt5463162,Deadpool 2,Deadpool 2 (2018),Movie,2018,7.7
tt3281548,Little Women,Little Women (2019),Movie,2019,7.8
tt7014006,Eighth Grade,Eighth Grade (2018),Movie,2018,7.4
tt6791096,I Feel Pretty,I Feel Pretty (2018),Movie,2018,5.6
tt1856101,Blade Runner 2049,Blade Runner 2049 (2017),Movie,2017,8
tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home (2021),Movie,2021,8.4
tt5726616,Call Me by Your Name,Call Me by Your Name (2017),Movie,2017,7.9
tt5013056,Dunkirk,Dunkirk (2017),Movie,2017,7.8
tt3501632,Thor: Ragnarok,Thor: Ragnarok (2017),Movie,2017,7.9
tt3890160,Baby Driver,Baby Driver (2017),Movie,2017,7.6
tt5052448,Get Out,Get Out (2017),Movie,2017,7.7
tt0974015,Justice League,Justice League (2017),Movie,2017,6.1
tt1485796,The Greatest Showman,The Greatest Showman (2017),Movie,2017,7.6
tt1959563,The Hitman's Bodyguard,The Hitman's Bodyguard (2017),Movie,2017,6.9
tt4649466,Kingsman: The Golden Circle,Kingsman: The Golden Circle (2017),Movie,2017,6.7
tt0451279,Wonder Woman,Wonder Woman (2017),Movie,2017,7.4
tt2283362,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle (2017),Movie,2017,6.9
tt3896198,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2 (2017),Movie,2017,7.6
tt3315342,Logan,Logan (2017),Movie,2017,8.1
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales (2017),Movie,2017,6.5
tt2771200,Beauty and the Beast,Beauty and the Beast (2017),Movie,2017,7.1
tt1469304,Baywatch,Baywatch (2017),Movie,2017,5.5
tt4925292,Lady Bird,Lady Bird (2017),Movie,2017,7.4
tt2380307,Coco,Coco (2017),Movie,2017,8.4
tt3371366,Transformers: The Last Knight,Transformers: The Last Knight (2017),Movie,2017,5.2
tt4116284,The Lego Batman Movie,The Lego Batman Movie (2017),Movie,2017,7.3
tt3731562,Kong: Skull Island,Kong: Skull Island (2017),Movie,2017,6.6
tt1293847,xXx: Return of Xander Cage,xXx: Return of Xander Cage (2017),Movie,2017,5.2
tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them (2016),Movie,2016,7.2
tt18689424,Batman v Superman: Dawn of Justice Ultimate Edition,Batman v Superman: Dawn of Justice Ultimate Edition (2016),Movie,2016,8
tt1431045,Deadpool,Deadpool (2016),Movie,2016,8
tt1211837,Doctor Strange,Doctor Strange (2016),Movie,2016,7.5
tt1386697,Suicide Squad,Suicide Squad (2016),Movie,2016,5.9
